Полное ФИО;Серия Номер;Пункт Отправления;Пункт Назначения;Время Отправления;Время Прибытия;Номер Поезда;Вагон-Место;Цена;Карта;cluster
Котова Софья Емельяновна;5505_646208;Владимир;Москва (Курский);2015-07-16T17:15;2015-07-17T01:40;146.0;16_23;590.0;4300534846021386_;5.0
Гуляева Капитолина Данииловна;1860_128626;Москва;Рязань;2015-02-10T14:00;2015-02-10T18:48;203.0;1_6;508.0;5500236758476756_;1.0
Григорьева Надежда Давидовна;0316_233663;Уфа;Екатеринбург;2044-06-30T17:00;2044-07-01T01:30;218.0;23_5;780.0;5500110054747860_;5.0
Филиппов Дамир Денисович;2342_945598;Санкт-Петербург;Псков;2015-10-05T16:30;2015-10-05T19:33;727.0;6_19;582.0;4567847140173753_;6.0
Виноградов Руслан Борисович;0762_257895;Баку;Санкт-Петербург;2054-01-29T18:40;2054-02-01T00:45;72.0;29_17;2057.0;5486884470518762_;3.0
Суханов Захар Макарович;6893_615594;Воронеж;Астрахань;2028-07-17T04:30;2028-07-17T21:30;679.0;5_32;571.0;2200888254346730_;7.0
Комарова Ника Михайловна;3945_639264;Липецк;Рязань;2020-02-09T20:00;2020-02-10T05:45;346.0;15_1;605.0;4567135731637031_;2.0
Сидорова Анна Тимуровна;5495_534761;Новокузнецк;Новосибирск;2013-10-02T21:05;2013-10-03T18:47;118.0;3_5;565.0;4000454255603707_;5.0
Зайцев Григорий Егорович;0115_760601;Ростов-на-Дону;Уфа;2015-06-09T16:10;2015-06-10T01:10;344.0;1_48;635.0;2204533163280200_;2.0
Маслов Владимир Захарович;0115_760601;Ростов-на-Дону;Ростов-на-Дону;2038-07-02T04:00;2038-07-02T19:02;523.0;22_21;662.0;5400318287726081_;9.0
Логинов Давид Евграфович;1800_354207;Саратов;Самара;2043-02-10T21:07;2043-02-11T05:20;520.0;6_63;524.0;4276384110885583_;8.0
Борисов Герман Богданович;3779_071046;Волгоград;Новосибирск;2022-06-19T13:30;2022-06-22T10:15;534.0;1_5;1531.0;4276760380636513_;4.0
Белова Арина Платоновна;5073_776849;Сочи;Адлер;2016-10-05T11:06;2016-10-05T14:09;669.0;8_32;512.0;5334214764614084_;6.0
Кудрявцева Инна Германовна;2684_033436;Москва;Калуга;2013-05-16T13:00;2013-05-16T15:02;767.0;13_12;573.0;2200526666211215_;6.0
Давыдов Елистрат Эрнестович;1151_426907;Аральск;Оренбург;2074-12-05T02:15;2074-12-05T20:45;376.0;2_4;777.0;4300425052580311_;1.0
Савельев Виктор Лаврентьевич;8333_023958;Ростов-на-Дону;Керчь;2034-10-21T11:27;2034-10-21T23:05;223.0;21_2;835.0;5486840234406068_;5.0
Суханов Тимур Власович;1033_791574;Сочи;Имеретинский Курорт;2013-02-26T10:55;2013-02-26T19:20;457.0;19_7;777.0;5486871576741242_;10.0
Козлова Арина Эрнестовна;1625_607234;Омск;Иркутск;2052-01-21T00:35;2052-01-22T01:15;69.0;21_3;1240.0;2204567276500217_;3.0
Степанов Евграф Кириллович;0295_212708;Волгоград;Ростов-на-Дону;2027-10-26T10:38;2027-10-26T20:55;505.0;13_49;537.0;4567673805172562_;8.0
Колесников Антон Витальевич;0345_314082;Адлер;Екатеринбург;2024-12-05T17:00;2024-12-08T00:24;256.0;11_27;699.0;5500275226634855_;4.0
Макарова Агния Викторовна;1651_289875;Саратов;Краснодар;2013-12-30T17:00;2013-12-31T13:40;455.0;29_1;1095.0;4300737333473337_;1.0
Попов Давид Николаевич;7469_434879;Мин. Воды;Москва;2029-12-24T09:30;2029-12-25T11:30;374.0;24_11;1280.0;5100078728656636_;5.0
Коновалов Аполлон Захарович;2376_413682;Пермь;Киров;2030-02-08T11:45;2030-02-09T01:47;350.0;13_3;651.0;4300681151313508_;2.0
Давыдова Яна Савельевна;4106_497791;Казань;Владимир;2029-04-13T08:50;2029-04-13T17:15;146.0;3_1;2439.0;5100852703562353_;3.0
Белов Прохор Вадимович;5484_540809;Сочи;Имеретинский Курорт;2022-12-22T15:00;2022-12-22T18:00;475.0;2_24;545.0;5469846805151524_;8.0
Лебедева Зарема Геннадиевна;3749_328619;Москва;Краснодар;2024-07-18T12:15;2024-07-19T08:15;241.0;6_40;560.0;5100786056786364_;1.0
Козлова Вероника Григорьевна;8266_917711;Краснодар;Воронеж;2032-09-17T23:55;2032-09-18T17:15;556.0;32_2;1040.0;5200676704264172_;2.0
Абрамова Глафира Платоновна;8376_230618;Новосибирск;Ростов-на-Дону;2037-09-28T23:14;2037-10-01T10:42;211.0;1_3;607.0;4567461110518057_;4.0
Григорьев Всеволод Филиппович;6937_898880;Сызрань;Рязань;2021-05-26T20:46;2021-05-27T05:18;34.0;1_42;628.0;5334708245315368_;3.0
Назаров Валентин Владленович;2436_104228;Воронеж;Москва;2044-09-10T05:48;2044-09-10T12:39;372.0;28_11;705.0;5334534213447154_;2.0
Жданова Моника Станиславовна;8979_985643;Пекин;Улан-Удэ;2053-06-09T07:00;2053-06-10T17:52;4.0;28_2;1650.0;4300457805246812_;3.0
Гуляева Галина Елистратовна;6203_875500;Великий Новгород;Чудово;2014-10-02T16:15;2014-10-02T17:46;738.0;1_12;550.0;5334023600656378_;6.0
Карпов Юрий Фёдорович;3925_006438;Волгоград;Сочи;2071-08-23T19:12;2071-08-24T13:48;529.0;4_26;555.0;4100664776633137_;8.0
Ромашкина Милана Матвеевна;3483_955730;Ростов-на-Дону;Сочи;2013-03-27T14:29;2013-03-28T04:16;507.0;2_31;706.0;5334558651561352_;10.0
Краснов Давид Сергеевич;5215_641340;Казань;Волгоград;2039-11-09T02:10;2039-11-10T05:10;463.0;29_6;1342.0;5334532824252856_;4.0
Сидорова Арина Сергеевна;4614_303515;Санкт-Петербург;Вологда;2019-03-03T20:10;2019-03-04T02:40;355.0;18_1;714.0;5469211411705525_;2.0
Харитонова Юнона Платоновна;0739_978181;Староминская;Краснодар;2014-06-30T21:42;2014-06-30T23:03;771.0;5_34;564.0;5200470843134646_;6.0
Седов Всеволод Матвеевич;2751_676344;Краснодар;Анапа;2069-05-16T12:45;2069-05-17T02:00;517.0;2_12;698.0;5200038530570025_;10.0
Петров Игнат Антонович;6718_671553;Новосибирск;Барнаул;2046-08-08T22:51;2046-08-09T20:05;95.0;31_8;1162.0;5469733333770545_;3.0
Тарасов Павел Тарасович;1193_551337;Рузаевка;Пенза;2021-09-05T06:10;2021-09-05T09:10;93.0;1_11;505.0;5100576627476835_;5.0
Комаров Степан Елистратович;2982_438631;Краснодар;Самара;2031-05-27T18:47;2031-05-28T23:35;582.0;11_32;603.0;4300602554050757_;8.0
Мельников Евгений Кузьмич;9419_439154;Ачинск;Красноярск;2019-07-20T18:45;2019-07-20T22:45;616.0;1_60;560.0;5200155602018062_;7.0
Яковлев Анатолий Макарович;1194_328068;Санкт-Петербург;Нижний Новгород;2019-09-24T07:30;2019-09-25T08:30;755.0;4_34;1700.0;4817871158173171_;1.0
Пономарев Климент Артурович;0592_062500;Керчь;Лиски;2037-01-01T18:30;2037-01-02T12:33;288.0;1_26;770.0;5200456654628454_;1.0
Воробьёва Моника Кирилловна;8995_606725;Новороссийск;Волгоград;2019-06-22T21:15;2019-06-23T19:17;574.0;3_1;5576.0;5500806754445818_;3.0
Сидорова Ирина Власовна;1491_456848;Краснодар;Сочи;2027-01-15T21:38;2027-01-16T07:14;243.0;23_1;799.0;2200421740642824_;5.0
Волкова Камилла Климентовна;8923_794656;Ростов-на-Дону;Самара;2020-12-18T18:49;2020-12-19T22:23;508.0;2_8;549.0;4300612884164242_;8.0
Попова Ася Данииловна;0806_631430;Новороссийск;Ростов-на-Дону;2031-03-23T22:45;2031-03-24T18:36;336.0;27_5;1155.0;5100716268321865_;5.0
Борисова Елена Тимофеевна;1958_561819;Москва;Ростов-на-Дону;2013-03-08T06:30;2013-03-08T17:21;747.0;7_17;792.0;4000142701712426_;8.0
Никитина Доминика Архиповна;9806_065219;Краснодар;Смоленск;2055-05-02T05:27;2055-05-03T22:15;598.0;5_1;9900.0;2202547224577841_;3.0
Орлов Сергей Олегович;0724_442324;Москва;Оренбург;2043-10-27T19:25;2043-10-28T16:39;39.0;5_43;563.0;5100348100735581_;3.0
Яковлев Еремей Аполлонович;5474_133257;Туапсе;Ростов-на-Дону;2034-10-05T11:35;2034-10-06T06:55;468.0;1_25;581.0;5469410752784231_;9.0
Гуляева Татьяна Геннадиевна;8537_220851;Рязань;Ростов-на-Дону;2031-07-13T17:15;2031-07-14T03:15;241.0;5_20;530.0;2204214653113365_;1.0
Родионова Ясмина Евгеньевна;2865_290033;Санкт-Петербург;Череповец;2018-12-02T16:50;2018-12-03T02:12;309.0;1_7;516.0;5469226210815513_;10.0
Гусев Павел Аполлонович;9909_095838;Волгоград;Анапа;2018-11-03T06:32;2018-11-04T06:38;699.0;2_7;543.0;4100878034878156_;6.0
Ситников Иван Геннадьевич;7781_101701;Мурманск;Москва;2013-01-00T12:00;2032-08-09T06:40;620.0;7_35;538.0;5200764082117657_;7.0
Ефимова Таисия Еремеевна;8248_785592;Котлас;Москва;2013-01-00T12:00;2036-03-18T22:03;294.0;21_8;814.0;5469604742770150_;4.0
Фёдорова Мелания Антоновна;6466_906954;Краснодар;Адлер;2048-11-14T02:35;2048-11-14T15:09;87.0;25_10;877.0;5400720034533118_;3.0
Лобанова Елизавета Оскаровна;6863_547488;Ростов-на-Дону;Поворино;2016-03-15T04:46;2016-03-16T02:18;311.0;23_2;1120.0;5200541775515837_;5.0
Комарова Ольга Казимировна;0710_699133;Печора;Усинск;2018-09-24T06:16;2018-09-24T14:05;443.0;4_33;523.0;5100064543686465_;9.0
Миронова Римма Эльдаровна;0384_492018;Волгоград;Краснодар;2051-03-31T17:40;2051-04-01T07:40;651.0;27_8;936.0;5500750654261625_;10.0
Николаев Герман Адамович;6789_271655;Рузаевка;Санкт-Петербург;2035-01-30T21:09;2035-01-31T12:45;38.0;1_4;528.0;4100316158683418_;3.0
Лебедева Вероника Аркадьевна;9525_328732;Рузаевка;Сызрань;2019-06-06T05:35;2019-06-06T09:45;37.0;23_1;536.0;2200028225174857_;3.0
Попова Тамара Витальевна;8108_137483;Адлер;Туапсе;2018-07-30T20:45;2018-07-31T03:47;696.0;22_9;536.0;2200028225174857_;6.0
Игнатов Анатолий Оскарович;9880_861815;Волгоград;Мичуринск;2019-02-12T19:25;2019-02-13T11:27;418.0;16_3;536.0;2200028225174857_;9.0
Ефремова Кира Григорьевна;8162_216238;Лиски;Москва;2019-10-04T01:13;2019-10-04T07:50;336.0;16_11;536.0;2200028225174857_;10.0
Ефимов Степан Вадимович;4563_837154;Ростов-на-Дону;Симферополь;2016-06-21T23:48;2016-06-22T19:00;315.0;1_16;788.0;5100801832488523_;1.0
Коновалова Арина Климентовна;3168_141727;Екатеринбург;Новосибирск;2075-09-02T12:15;2075-09-03T12:55;69.0;20_2;1314.0;5486305830462407_;3.0
Якушева Лариса Тарасовна;3070_331183;Саранск;Казань;2054-08-03T10:18;2054-08-03T20:30;460.0;21_11;793.0;4567345558467856_;10.0
Куликова Ксения Владиславовна;2334_445136;Екатеринбург;Москва;2013-01-17T00:26;2013-01-17T21:40;86.0;3_54;589.0;2200272880155845_;5.0
Лебедева Элла Станиславовна;6270_245249;Ачинск;Новосибирск;2067-04-10T10:45;2067-04-10T22:45;322.0;7_31;550.0;2204572376775302_;10.0
Лебедев Лев Александрович;5544_239166;Уфа;Краснодар;2042-08-08T11:30;2042-08-10T06:00;549.0;5_14;627.0;2204111016740406_;8.0
Быкова Ася Валентиновна;9899_329062;Санкт-Петербург;Бологое;2015-06-15T07:00;2015-06-15T08:01;702.0;3_47;527.0;4300373002081508_;6.0
Седов Константин Наумович;4657_203417;Воронеж;Москва;2017-09-12T14:18;2017-09-13T02:20;542.0;23_8;875.0;5500553837841183_;10.0
Игнатов Григорий Георгиевич;4674_998297;Арзамас;Канаш;2024-07-10T22:31;2024-07-11T03:32;643.0;13_7;518.0;5400072874408573_;7.0
Давыдов Назар Игоревич;8829_378824;Адлер;Ростов-на-Дону;2019-12-06T12:00;2019-12-07T01:48;162.0;18_2;955.0;4000782411658124_;5.0
Лебедев Платон Станиславович;7143_389228;Ртищево;Балашов;2043-01-14T15:35;2043-01-14T21:25;90.0;4_50;517.0;5200861878847356_;5.0
Щукина Роза Лукинична;0835_336810;Джанкой;Москва;2032-01-26T13:29;2032-01-27T10:43;548.0;31_5;1162.0;4300354284273140_;1.0
Бурова Эвелина Львовна;1460_435899;Ростов-на-Дону;Краснодар;2013-06-10T00:00;2013-06-10T05:00;297.0;5_6;515.0;4276687757272683_;2.0
Некрасова Елизавета Дмитриевна;4658_027794;Ростов-на-Дону;Москва;2032-11-13T22:30;2032-11-14T08:30;208.0;10_41;536.0;4817488353062478_;1.0
Коновалова Ольга Руслановна;9578_838237;Краснодар;Санкт-Петербург;2040-03-04T22:15;2040-03-05T23:15;432.0;1_39;605.0;5500126058226220_;10.0
Белова Клавдия Львовна;0551_196391;Калуга;Москва;2017-07-31T15:49;2017-07-31T17:51;628.0;32_6;567.0;4817112568748602_;7.0
Петров Аполлон Казимирович;6996_478744;Калуга;Сухиничи;2014-06-06T12:32;2014-06-06T14:34;627.0;25_4;558.0;4000077068647378_;7.0
Мишина Мелания Адамовна;7119_481191;Канаш;Чебоксары;2026-01-17T03:32;2026-01-17T08:33;643.0;28_5;650.0;4567241068212330_;8.0
Соловьёва Софья Ярославовна;8830_306749;Рязань;Москва;2023-11-30T06:37;2023-11-30T11:18;602.0;1_6;519.0;4000238701368251_;7.0
Лебедева Виталина Глебовна;0777_266908;Краснодар;Рязань;2017-09-14T06:21;2017-09-14T23:09;536.0;19_4;1024.0;2204023435627258_;2.0
Шилов Тарас Тарасович;2620_724140;Уфа;Екатеринбург;2023-12-05T18:48;2023-12-06T05:25;246.0;5_1;2946.0;5334362652833463_;3.0
Щукина Антонина Эрнестовна;5376_274653;Казань;Москва;2073-03-27T06:36;2073-03-27T20:27;160.0;7_28;558.0;2204023822632234_;5.0
Баранова Алевтина Марковна;3163_045054;Санкт-Петербург;Мин. Воды;2049-12-03T12:00;2049-12-04T17:20;267.0;2_6;940.0;2202022456162383_;5.0
Жукова Изабелла Лукинична;8130_128294;Арзамас;Нижний Новгород;2039-08-07T13:05;2039-08-07T21:55;572.0;28_8;791.0;5400703016860733_;10.0
Калашникова Элеонора Анатольевна;5254_495187;Новороссийск;Лиски;2037-10-20T22:45;2037-10-22T01:13;336.0;26_10;1262.0;5400247608642351_;5.0
Романов Захар Игнатьевич;4399_533206;Волгоград;Сочи;2054-12-30T13:30;2054-12-31T07:10;511.0;7_36;574.0;5500558753243303_;8.0
Соболева Маргарита Наумовна;3289_449313;Рязань;Ростов-на-Дону;2015-08-28T05:37;2015-08-28T18:59;179.0;24_4;941.0;5469868231566703_;5.0
Капустина Мелания Вячеславовна;0267_434591;Краснодар;Ростов-на-Дону;2033-05-06T11:39;2033-05-06T17:03;592.0;6_13;516.0;4300445105414437_;7.0
Семёнова Мария Евграфовна;7654_631441;Оренбург;Актюбинск;2041-05-03T16:39;2041-05-04T03:16;39.0;6_38;531.0;4000387460570117_;3.0
Васильев Даниил Русланович;6025_110155;Ростов-на-Дону;Прохладная;2047-04-26T10:00;2047-04-27T00:40;267.0;8_3;552.0;4000102777308368_;1.0
Карпов Кирилл Игоревич;0217_614778;Краснодар;Ростов-на-Дону;2021-07-10T07:18;2021-07-10T10:49;696.0;11_10;512.0;2202601426500367_;6.0
Щербакова Зарема Григорьевна;3274_858552;Воронеж;Москва;2026-06-18T18:36;2026-06-19T01:50;748.0;8_52;695.0;2200282030065742_;7.0
Яшина Капитолина Борисовна;9778_488018;Самара;Омск;2087-11-10T14:33;2087-11-11T19:25;236.0;16_13;1331.0;5100658417218161_;5.0
Харитонова Жанна Платоновна;7169_378302;Москва;Тула;2018-06-26T11:30;2018-06-26T13:32;729.0;6_48;536.0;5500003813224362_;6.0
Михайлов Максим Климович;8452_190216;Сочи;Самара;2051-01-20T18:16;2051-01-22T03:19;530.0;30_3;1531.0;2202725635041406_;4.0
Журавлев Лев Архипович;2016_899882;Краснодар;Анапа;2065-07-26T13:50;2065-07-26T23:30;499.0;28_7;790.0;4817045776240711_;10.0
Давыдов Геннадий Борисович;8096_531252;Лодейное Поле;Петрозаводск;2016-09-11T05:16;2016-09-11T07:40;7.0;1_13;536.0;5469104603313505_;3.0
Иванова Милана Арсеньевна;7615_241743;Москва;Владимир;2031-06-17T15:50;2031-06-18T00:10;755.0;4_61;900.0;4100442715264272_;9.0
Абрамова Капитолина Александровна;0639_328699;Воронеж;Мурманск;2062-05-08T14:45;2062-05-10T08:45;584.0;32_8;1709.0;2207317077506216_;4.0
Макаров Авраам Артурович;6180_074062;Ростов-на-Дону;Кизляр;2018-12-19T01:40;2018-12-20T01:40;137.0;8_7;600.0;5500075237007765_;5.0
Егорова Элла Наумовна;2252_505202;Ярославль;Кострома;2013-03-21T18:02;2013-03-21T20:04;757.0;16_62;573.0;4000838878658767_;6.0
Семенов Виктор Петрович;6619_485712;Тюмень;Тобольск;2016-02-01T17:12;2016-02-02T04:48;693.0;9_35;625.0;5486065624024807_;7.0
Киселев Александр Тимурович;9277_196748;Рязань;Воронеж;2028-12-01T03:18;2028-12-01T09:31;253.0;8_21;526.0;4000377266335800_;1.0
Емельянова Елизавета Львовна;6386_588765;Зеленый Дол;Владимир;2014-09-28T01:09;2014-09-28T08:21;24.0;2_10;512.0;5469556521446854_;3.0
Соболева Маргарита Станиславовна;3192_861408;Туапсе;Адлер;2024-04-16T02:54;2024-04-16T07:30;263.0;5_30;513.0;4100088854121177_;2.0
Медведева Виталина Ильинична;7519_297729;Краснодар;Адлер;2014-09-08T18:15;2014-09-09T00:21;650.0;20_7;675.0;2207014853023431_;8.0
Ершов Василий Захарович;7801_587953;Рязань;Керчь;2036-11-22T09:45;2036-11-23T05:00;279.0;2_15;788.0;4567662660101483_;4.0
Захарова Инна Тимофеевна;7829_749186;Москва;Бологое;2016-06-06T12:00;2016-06-06T20:02;665.0;4_49;524.0;4300354662002056_;6.0
Тихомирова Лада Ростиславовна;7822_492050;Ярославль;Санкт-Петербург;2030-10-15T01:39;2030-10-15T11:15;192.0;8_20;534.0;2207237221060218_;4.0
Якушева Элла Захаровна;2173_521151;Воронеж;Ростов-на-Дону;2028-04-21T15:50;2028-04-21T20:30;99.0;3_37;519.0;5486066474473025_;5.0
Гусев Еремей Климентович;1049_531000;Краснодар;Ростов-на-Дону;2030-05-03T08:02;2030-05-03T16:19;700.0;11_35;529.0;4300666644218730_;6.0
Жуков Никита Савельевич;4970_180360;Волгоград;Краснодар;2050-08-25T06:39;2050-08-25T17:52;503.0;11_24;540.0;4567218784428577_;8.0
Климов Матвей Петрович;3665_412936;Воронеж;Москва;2017-01-08T10:18;2017-01-08T19:30;58.0;27_6;787.0;2202021468412145_;3.0
Пономарёва Снежана Аркадьевна;2983_430685;Череповец;Москва;2024-12-01T17:00;2024-12-02T06:03;126.0;2_11;523.0;5334767801016812_;5.0
Харитонова Ева Владимировна;2567_334562;Рязань;Ростов-на-Дону;2014-12-23T09:45;2014-12-23T22:35;279.0;7_4;553.0;5334022430623740_;2.0
Захарова Карина Архиповна;0115_760601;Ростов-на-Дону;Калуга;2013-02-09T14:01;2013-02-09T15:02;767.0;9_21;536.0;5400588383481660_;6.0
Белова Инна Александровна;0115_760601;Ростов-на-Дону;Сочи;2057-03-04T03:20;2057-03-04T12:10;655.0;2_13;515.0;5500116268025334_;6.0
Попова Стефания Романовна;0115_760601;Ростов-на-Дону;Керчь;2034-09-19T22:35;2034-09-20T05:00;279.0;25_3;711.0;4817404463178300_;1.0
Селиванова Капитолина Артуровна;0115_760601;Ростов-на-Дону;Санкт-Петербург;2013-06-28T15:46;2013-06-28T16:47;776.0;13_55;536.0;2204330210040527_;6.0
Пономарев Мирон Анатольевич;5265_666297;Москва;Саранск;2023-11-05T20:00;2023-11-06T10:03;601.0;5_13;542.0;4567465503517813_;7.0
Зайцев Платон Платонович;5181_167124;Волгоград;Красноярск;2041-06-27T21:50;2041-06-30T22:45;320.0;6_20;718.0;2202330641423248_;1.0
Ершов Назар Андреевич;4506_953338;Сочи;Адлер;2037-07-21T18:00;2037-07-22T01:35;485.0;35_1;736.0;5200176074471843_;10.0
Белова Алина Глебовна;6372_394635;Екатеринбург;Новосибирск;2048-11-04T06:17;2048-11-05T07:05;27.0;21_6;1214.0;5486563507771588_;3.0
Афанасьева Арина Петровна;0514_437677;Чудово;Москва;2014-12-31T10:11;2014-12-31T12:53;704.0;7_14;572.0;5334756873684524_;7.0
Маслов Тарас Антонович;7327_405093;Екатеринбург;Красноярск;2071-11-09T01:48;2071-11-10T16:51;359.0;9_20;921.0;5469061278684331_;1.0
Николаев Евгений Тимофеевич;1035_948455;Пенза;Нижний Новгород;2036-05-16T00:34;2036-05-16T18:36;326.0;11_34;564.0;5200062102873172_;2.0
Сидорова Снежана Прокофьевна;3136_365326;Ростов-на-Дону;Сочи;2062-06-26T02:04;2062-06-26T11:05;585.0;1_33;635.0;5334126284055464_;8.0
Савельева Варвара Робертовна;3223_625320;Краснодар;Новороссийск;2050-08-18T17:05;2050-08-19T02:26;435.0;4_54;528.0;5334681554282067_;9.0
Леонова Полина Ярославовна;2613_585352;Старый Оскол;Москва;2027-09-07T00:55;2027-09-07T18:01;658.0;7_43;571.0;2207075086742244_;7.0
Пономарев Олег Сергеевич;0115_760601;Ростов-на-Дону;Москва;2015-11-25T21:12;2015-11-26T01:16;187.0;17_8;634.0;5100261671566183_;5.0
Ситников Роберт Витальевич;0115_760601;Ростов-на-Дону;Москва;2026-04-06T01:13;2026-04-06T07:50;336.0;1_47;527.0;5334020304618034_;10.0
Сергеев Клим Тимофеевич;0115_760601;Ростов-на-Дону;Москва;2026-05-14T18:30;2026-05-15T04:45;25.0;26_1;807.0;5486632228246676_;3.0
Родионова Виталина Всеволодовна;9089_629808;Москва;Имеретинский Курорт;2035-04-01T11:10;2035-04-02T20:15;569.0;1_56;996.0;5486122048470242_;2.0
Некрасов Даниил Степанович;7008_280171;Шаля;Пермь;2016-05-29T17:47;2016-05-29T21:51;636.0;20_8;634.0;4276460428418554_;8.0
Селиванова Василиса Евграфовна;9942_639521;Рязань;Липецк;2013-07-02T00:30;2013-07-02T09:30;345.0;3_54;527.0;2207038153330781_;10.0
Калашников Денис Эмильевич;7866_420244;Саратов;Керчь;2026-06-30T21:30;2026-07-02T00:30;343.0;4_1;6720.0;5100008247367436_;3.0
Миронова Виталина Дамировна;3358_531225;Псков;Витебск;2026-03-19T00:59;2026-03-19T04:48;43.0;21_24;541.0;5500586530654318_;3.0
Ефремов Глеб Оскарович;1865_002223;Брянск;Воронеж;2050-01-11T04:12;2050-01-11T14:24;597.0;4_41;542.0;5200644083300223_;7.0
Ершов Всеволод Юрьевич;6017_807914;Иваново;Шуя;2015-02-25T15:15;2015-02-25T16:16;726.0;2_4;533.0;2207433048186341_;6.0
Селиванова Маргарита Архиповна;1823_233232;Ташкент;Новосибирск;2021-12-06T18:00;2021-12-10T23:05;332.0;15_35;1591.0;4817015062002653_;5.0
Гаврилова Анна Михайловна;7122_025571;Волгоград;Омск;2024-01-08T11:06;2024-01-10T12:54;522.0;11_69;679.0;5200574046111615_;9.0
Егорова Кристина Матвеевна;2143_625401;Смоленск;Вильнюс;2020-10-08T13:15;2020-10-08T21:15;29.0;2_19;620.0;4000085483128821_;3.0
Астафьев Роберт Львович;8470_888395;Ростов-на-Дону;Сочи;2027-11-12T02:04;2027-11-12T11:05;585.0;22_4;797.0;4100850101852422_;10.0
Григорьев Валентин Ростиславович;4827_152709;Пермь;Екатеринбург;2030-05-06T15:18;2030-05-07T00:54;663.0;20_18;603.0;5469285022851858_;7.0
Баранов Александр Богданович;0916_628229;Рязань;Москва;2023-05-22T12:19;2023-05-22T18:01;658.0;6_49;517.0;5469635864755244_;6.0
Куликова Виктория Платоновна;1610_713979;Анапа;Краснодар;2031-05-02T15:15;2031-05-02T23:55;556.0;10_28;531.0;2204577224202140_;8.0
Сидоров Арсений Арсеньевич;4682_309695;Казань;Москва;2072-02-07T10:45;2072-02-07T22:45;322.0;14_24;629.0;5500214018651275_;2.0
Белова Виталина Дамировна;6812_677343;Абакан;Шира;2021-12-09T10:45;2021-12-09T14:45;616.0;30_13;620.0;4100242787588722_;8.0
Елисеева Майя Сергеевна;6347_119194;Воронеж;Новороссийск;2013-06-17T17:46;2013-06-18T20:10;405.0;1_55;896.0;5200384615174016_;1.0
Жукова Яна Германовна;2286_802985;Барнаул;Бийск;2016-03-24T14:34;2016-03-24T18:38;617.0;17_18;543.0;4276387826120185_;7.0
Поляков Руслан Матвеевич;2134_870651;Ростов-на-Дону;Воронеж;2084-08-23T10:55;2084-08-24T01:15;488.0;33_7;973.0;5200278164243641_;2.0
Самойлова Вероника Лаврентьевна;9795_164991;Астрахань;Махачкала;2055-02-19T04:11;2055-02-19T14:48;71.0;1_7;659.0;5200387475551566_;3.0
Лобанова Елена Евграфовна;9110_958090;Вологда;Екатеринбург;2031-04-07T06:25;2031-04-08T16:10;61.0;1_27;1006.0;5100504053005354_;3.0
Степанов Павел Казимирович;3823_406732;Самара;Волгоград;2027-09-05T01:20;2027-09-05T09:45;169.0;1_11;515.0;5486527041525134_;4.0
Самойлов Прокофий Матвеевич;4994_656779;Воронеж;Санкт-Петербург;2017-09-11T23:20;2017-09-12T14:00;68.0;6_26;561.0;5469451721574140_;3.0
Фролова Дина Викторовна;7222_712004;Волгоград;Ижевск;2035-02-26T23:45;2035-02-28T02:15;486.0;5_49;611.0;5200124644460272_;9.0
Ушаков Прохор Васильевич;8258_772421;Москва;Чудово;2013-12-06T18:20;2013-12-06T20:22;709.0;2_6;567.0;4817363641864634_;6.0
Куликов Герман Богданович;3833_539168;София;Минск;2036-01-29T15:00;2036-01-31T09:28;60.0;21_8;1901.0;4567703734400747_;3.0
Ефимов Еремей Иванович;7951_598161;Рязань;Сызрань;2019-11-02T19:38;2019-11-03T07:16;119.0;19_1;625.0;4100412258647374_;5.0
Давыдов Валентин Игоревич;2630_455629;Саранск;Нижний Новгород;2031-04-15T04:15;2031-04-15T21:55;572.0;3_25;574.0;5500725280464288_;8.0
Коновалова Алина Денисовна;5947_870391;Волгоград;Анапа;2039-03-19T06:32;2039-03-20T06:38;699.0;11_19;760.0;2204145060845653_;8.0
Герасимов Макар Елисеевич;4258_448384;Краснодар;Керчь;2020-04-13T16:40;2020-04-14T01:05;659.0;5_15;530.0;4817873182587243_;7.0
Некрасова Виталина Платоновна;0621_561120;Няндома;Ярославль;2049-01-19T22:30;2049-01-20T14:30;394.0;17_5;960.0;2207165452544581_;1.0
Соколова Агния Лаврентьевна;6114_071719;Рязань;Саранск;2022-04-24T00:41;2022-04-24T10:03;601.0;5_26;539.0;4817586042748867_;7.0
Гаврилова Ядвига Львовна;5164_709376;Ростов-на-Дону;Анапа;2024-10-04T05:36;2024-10-04T16:00;433.0;33_4;843.0;4817162056320285_;2.0
Сидорова Элла Степановна;0115_760601;Саратов;Волгоград;2050-02-07T06:55;2050-02-07T19:10;312.0;20_14;852.0;4817303271312540_;4.0
Сидорова Элла Степановна;0115_760601;Краснодар;Адлер;2013-01-24T20:58;2013-01-25T00:35;747.0;6_50;565.0;5400737757183007_;6.0
Сидорова Элла Степановна;0115_760601;Ростов-на-Дону;Краснодар;2024-02-19T02:34;2024-02-19T11:22;405.0;28_4;774.0;2207503486765756_;2.0
Сидорова Элла Степановна;0115_760601;Крымская;Анапа;2024-03-10T05:24;2024-03-10T10:00;155.0;5_1;1559.0;4100858867281040_;3.0
